year,scenario,temp_anomaly_c,precip_anomaly_pct,co2_ppm,heatwave_risk,seasonal_precip_mm,seasonal_cdd,yield_bu_acre
2021,SSP1-2.6,2.1043164062500015,-0.02,445.0,0.15,506.9184370804578,20.0,177.7
2020,SSP1-2.6,2.094331054687503,-0.02,445.0,0.15,599.8293260810897,20.0,182.2
2019,SSP1-2.6,1.7712292480468772,-0.02,445.0,0.15,545.8130023477135,20.0,170.0
2018,SSP1-2.6,1.4481274414062515,-0.02,445.0,0.15,491.796678614337,20.0,160.4
2017,SSP1-2.6,1.1250256347656276,-0.02,445.0,0.15,437.78035488096066,20.0,196.2
2016,SSP1-2.6,0.8019238281250036,-0.02,445.0,0.15,383.7640311475843,20.0,188.0
2015,SSP1-2.6,0.4788220214843779,-0.02,445.0,0.15,329.747707414208,20.0,194.5
2014,SSP1-2.6,6.336121826171878,-0.02,445.0,0.15,556.7384840687737,20.0,157.9
2013,SSP1-2.6,3.760072021484378,-0.02,445.0,0.15,263.8111313106492,20.0,162.4
2012,SSP1-2.6,-0.3806445312499971,-0.02,445.0,0.15,28.020010291220387,20.0,160.9
2011,SSP1-2.6,1.167115478515628,-0.02,445.0,0.15,497.66324342926964,20.0,169.3
2010,SSP1-2.6,-0.3346850585937471,-0.02,445.0,0.15,284.75485965027474,20.0,181.0
2009,SSP1-2.6,-0.5536486816406221,-0.02,445.0,0.15,278.7967965763528,20.0,185.3
2008,SSP1-2.6,-2.475462646484372,-0.02,445.0,0.15,199.23472977534402,20.0,168.0
2007,SSP1-2.6,-1.426878662109372,-0.02,445.0,0.15,480.67128671100363,20.0,165.8
2006,SSP1-2.6,-1.245573730468747,-0.02,445.0,0.15,464.88723589573056,20.0,159.0
2005,SSP1-2.6,2.012055664062503,-0.02,445.0,0.15,409.4457159284502,20.0,170.4
2004,SSP1-2.6,-2.148222656249997,-0.02,445.0,0.15,663.0195357254706,20.0,188.8
2003,SSP1-2.6,1.625581054687503,-0.02,445.0,0.15,572.2603899193928,20.0,160.6
2002,SSP1-2.6,0.5182812500000029,-0.02,445.0,0.15,511.0179207287729,20.0,144.5
2001,SSP1-2.6,0.25586059570307107,-0.02,445.0,0.15,547.2082570195198,20.0,129.7
2000,SSP1-2.6,-2.442534179687497,-0.02,445.0,0.15,460.82776410039514,20.0,150.9
1999,SSP1-2.6,0.1824658203125029,-0.02,445.0,0.15,454.76317908614874,20.0,150.7
1998,SSP1-2.6,-0.3154895019531221,-0.02,445.0,0.15,423.1989247491583,20.0,152.0
1997,SSP1-2.6,0.7003491210937529,-0.02,445.0,0.15,297.1901059267111,20.0,128.8
1996,SSP1-2.6,-2.844664306640622,-0.02,445.0,0.15,424.7205774416216,20.0,141.5
1995,SSP1-2.6,0.2272045898437529,-0.02,445.0,0.15,304.33453005971387,20.0,125.6
1994,SSP1-2.6,-0.027891845703122087,-0.02,445.0,0.15,259.96196219930425,20.0,145.3
1993,SSP1-2.6,-0.5701281738281221,-0.02,445.0,0.15,310.6137459632009,20.0,55.6
1992,SSP1-2.6,-1.203032226562497,-0.02,445.0,0.15,451.8268284620717,20.0,135.0
1991,SSP1-2.6,-2.214171142578122,-0.02,445.0,0.15,136.03903773764614,20.0,120.3
1990,SSP1-2.6,1.397919921875003,-0.02,445.0,0.15,499.64036758756265,20.0,128.3
2025,SSP1-2.6,2.144257812500003,-0.02,445.0,0.15,135.27488107793033,20.0,227.1
2022,SSP1-2.6,2.1143017578125036,-0.02,445.0,0.15,414.00754807982594,20.0,213.6
2021,SSP1-2.6,2.1043164062500015,-0.02,445.0,0.15,506.9184370804578,20.0,182.5
2020,SSP1-2.6,2.094331054687503,-0.02,445.0,0.15,599.8293260810897,20.0,186.1
2018,SSP1-2.6,1.4481274414062515,-0.02,445.0,0.15,491.796678614337,20.0,155.8
2017,SSP1-2.6,1.1250256347656276,-0.02,445.0,0.15,437.78035488096066,20.0,210.1
2016,SSP1-2.6,0.8019238281250036,-0.02,445.0,0.15,383.7640311475843,20.0,198.5
2015,SSP1-2.6,0.4788220214843779,-0.02,445.0,0.15,329.747707414208,20.0,203.3
2014,SSP1-2.6,6.336121826171878,-0.02,445.0,0.15,556.7384840687737,20.0,165.0
2013,SSP1-2.6,3.760072021484378,-0.02,445.0,0.15,263.8111313106492,20.0,166.4
2012,SSP1-2.6,-0.3806445312499971,-0.02,445.0,0.15,28.020010291220387,20.0,166.6
2011,SSP1-2.6,1.167115478515628,-0.02,445.0,0.15,497.66324342926964,20.0,169.6
2010,SSP1-2.6,-0.3346850585937471,-0.02,445.0,0.15,284.75485965027474,20.0,183.1
2009,SSP1-2.6,-0.5536486816406221,-0.02,445.0,0.15,278.7967965763528,20.0,190.1
2008,SSP1-2.6,-2.475462646484372,-0.02,445.0,0.15,199.23472977534402,20.0,168.0
2007,SSP1-2.6,-1.426878662109372,-0.02,445.0,0.15,480.67128671100363,20.0,175.7
2006,SSP1-2.6,-1.245573730468747,-0.02,445.0,0.15,464.88723589573056,20.0,165.9
2005,SSP1-2.6,2.012055664062503,-0.02,445.0,0.15,409.4457159284502,20.0,182.7
2004,SSP1-2.6,-2.148222656249997,-0.02,445.0,0.15,663.0195357254706,20.0,181.8
2003,SSP1-2.6,1.625581054687503,-0.02,445.0,0.15,572.2603899193928,20.0,165.9
2002,SSP1-2.6,0.5182812500000029,-0.02,445.0,0.15,511.0179207287729,20.0,153.7
2001,SSP1-2.6,0.25586059570307107,-0.02,445.0,0.15,547.2082570195198,20.0,131.1
2000,SSP1-2.6,-2.442534179687497,-0.02,445.0,0.15,460.82776410039514,20.0,156.4
1999,SSP1-2.6,0.1824658203125029,-0.02,445.0,0.15,454.76317908614874,20.0,148.6
1998,SSP1-2.6,-0.3154895019531221,-0.02,445.0,0.15,423.1989247491583,20.0,154.7
1997,SSP1-2.6,0.7003491210937529,-0.02,445.0,0.15,297.1901059267111,20.0,144.9
1996,SSP1-2.6,-2.844664306640622,-0.02,445.0,0.15,424.7205774416216,20.0,145.1
1995,SSP1-2.6,0.2272045898437529,-0.02,445.0,0.15,304.33453005971387,20.0,128.0
1994,SSP1-2.6,-0.027891845703122087,-0.02,445.0,0.15,259.96196219930425,20.0,153.9
1993,SSP1-2.6,-0.5701281738281221,-0.02,445.0,0.15,310.6137459632009,20.0,53.4
1992,SSP1-2.6,-1.203032226562497,-0.02,445.0,0.15,451.8268284620717,20.0,147.5
1991,SSP1-2.6,-2.214171142578122,-0.02,445.0,0.15,136.03903773764614,20.0,118.0
1990,SSP1-2.6,1.397919921875003,-0.02,445.0,0.15,499.64036758756265,20.0,134.5
2024,SSP1-2.6,2.1342724609375043,-0.02,445.0,0.15,228.1857700785622,20.0,198.8
2023,SSP1-2.6,2.124287109375002,-0.02,445.0,0.15,321.09665907919407,20.0,200.2
2022,SSP1-2.6,2.1143017578125036,-0.02,445.0,0.15,414.00754807982594,20.0,190.8
2021,SSP1-2.6,2.1043164062500015,-0.02,445.0,0.15,506.9184370804578,20.0,216.7
2020,SSP1-2.6,2.094331054687503,-0.02,445.0,0.15,599.8293260810897,20.0,197.0
2019,SSP1-2.6,1.7712292480468772,-0.02,445.0,0.15,545.8130023477135,20.0,186.5
2018,SSP1-2.6,1.4481274414062515,-0.02,445.0,0.15,491.796678614337,20.0,193.0
2017,SSP1-2.6,1.1250256347656276,-0.02,445.0,0.15,437.78035488096066,20.0,218.9
2016,SSP1-2.6,0.8019238281250036,-0.02,445.0,0.15,383.7640311475843,20.0,206.9
2015,SSP1-2.6,0.4788220214843779,-0.02,445.0,0.15,329.747707414208,20.0,196.0
2014,SSP1-2.6,6.336121826171878,-0.02,445.0,0.15,556.7384840687737,20.0,172.9
2013,SSP1-2.6,3.760072021484378,-0.02,445.0,0.15,263.8111313106492,20.0,190.5
2012,SSP1-2.6,-0.3806445312499971,-0.02,445.0,0.15,28.020010291220387,20.0,161.6
2011,SSP1-2.6,1.167115478515628,-0.02,445.0,0.15,497.66324342926964,20.0,185.4
2010,SSP1-2.6,-0.3346850585937471,-0.02,445.0,0.15,284.75485965027474,20.0,195.2
2009,SSP1-2.6,-0.5536486816406221,-0.02,445.0,0.15,278.7967965763528,20.0,192.8
2008,SSP1-2.6,-2.475462646484372,-0.02,445.0,0.15,199.23472977534402,20.0,190.0
2007,SSP1-2.6,-1.426878662109372,-0.02,445.0,0.15,480.67128671100363,20.0,163.7
2006,SSP1-2.6,-1.245573730468747,-0.02,445.0,0.15,464.88723589573056,20.0,163.9
