year,observed_bu_acre,CeresPINN,LinearRegression,Ridge_alpha1,RandomForest,MLP_no_monotonicity,observed_bu_acre_kg_ha,CeresPINN_kg_ha,LinearRegression_kg_ha,Ridge_alpha1_kg_ha,RandomForest_kg_ha,MLP_no_monotonicity_kg_ha
1991,118.0,119.1036,111.53035852076236,112.60352252183058,100.7221317460319,108.02146,7406.860000000001,7476.133,7000.760604348254,7068.123108695306,6322.328209698423,6780.5073
1992,144.8,129.62514,126.30158711250009,126.53299477594412,98.19856190476209,105.253426,9089.096000000001,8136.57,7927.950623051631,7942.476082086013,6163.923730761917,6606.758
1998,145.4,146.33305,140.80697954270843,140.99072510291452,143.9259525396824,140.12901,9126.758000000002,9185.326,8838.45410589581,8849.987814709944,9034.232040915866,8795.898
2001,143.3,162.29243,153.51009234368885,153.25922831402139,133.51596317460314,164.51012,8994.941,10187.097,9635.828496413349,9620.081761271123,8380.797008469839,10326.3
2003,157.1,167.11006,159.19896367154084,159.04638820135278,167.65845285714246,172.97466,9861.167,10489.499,9992.918949662619,9983.341787398915,10523.921085842832,10857.619
2004,181.4,174.41133,167.34115560122947,166.06218855526024,168.26566000000022,167.36424,11386.478000000001,10947.8,10504.004337089174,10423.723575613685,10562.035478200014,10505.453
2011,172.80000000000004,183.23047,177.8904243836149,177.44767493466608,168.11324349206356,187.8712,10846.656000000003,11501.377,11166.181938559508,11138.39055564899,10552.46829399683,11792.676
2024,212.65,199.27986,202.65037682528035,202.5380920089203,202.70624804232838,208.82707,13348.040500000001,12508.797,12720.364153322847,12713.316035399928,12723.871189616953,13108.075
